0,1,2,3,4,5,6,7,8,9,10,11
에어부산,15:35ICN,17:30KIX,"직항, 01시간 55분",15:25KIX,17:40ICN,"직항, 02시간 15분",성인/모든 결제수단,"왕복 353,700원~",,,
진에어,15:00ICN,16:40KIX,"직항, 01시간 40분",11:05KIX,13:10ICN,"직항, 02시간 05분",성인/모든 결제수단,"왕복 356,700원~",,,
티웨이항공,14:40ICN,16:30KIX,"직항, 01시간 50분",피치항공,07:40KIX,09:45ICN,"직항, 02시간 05분",성인/모든 결제수단,"왕복 361,813원~",,
티웨이항공,14:40ICN,16:30KIX,"직항, 01시간 50분",10:55KIX,12:55ICN,"직항, 02시간 00분",성인/모든 결제수단,"왕복 364,900원~",,,
진에어,14:05ICN,16:00KIX,"직항, 01시간 55분",11:05KIX,13:10ICN,"직항, 02시간 05분",성인/모든 결제수단,"왕복 365,700원~",,,
피치항공,15:25ICN,17:10KIX,"직항, 01시간 45분",에어서울,09:55KIX,11:55ICN,"직항, 02시간 00분",성인/모든 결제수단,"왕복 366,346원~",,
진에어,15:00ICN,16:40KIX,"직항, 01시간 40분",에어서울,09:55KIX,11:55ICN,"직항, 02시간 00분",성인/모든 결제수단,"왕복 366,500원~",,
티웨이항공,14:40ICN,16:30KIX,"직항, 01시간 50분",에어서울,09:55KIX,11:55ICN,"직항, 02시간 00분",성인/모든 결제수단,"왕복 366,600원~",,
에어서울,15:20ICN,17:00KIX,"직항, 01시간 40분",09:55KIX,11:55ICN,"직항, 02시간 00분",성인/모든 결제수단,"왕복 368,800원~",,,
한에어제주항공 공동운항,16:55ICN,18:40KIX,"직항, 01시간 45분",피치항공,07:40KIX,09:45ICN,"직항, 02시간 05분",성인/모든 결제수단,"왕복 369,965원~",,
제주항공,16:55ICN,18:40KIX,"직항, 01시간 45분",에어서울,09:55KIX,11:55ICN,"직항, 02시간 00분",성인/모든 결제수단,"왕복 370,700원~",,
피치항공,15:25ICN,17:10KIX,"직항, 01시간 45분",07:40KIX,09:45ICN,"직항, 02시간 05분",성인/모든 결제수단,"왕복 371,697원~",,,
진에어,15:00ICN,16:40KIX,"직항, 01시간 40분",12:00KIX,14:00ICN,"직항, 02시간 00분",성인/모든 결제수단,"왕복 374,700원~",,,
티웨이항공,07:55ICN,09:45KIX,"직항, 01시간 50분",10:55KIX,12:55ICN,"직항, 02시간 00분",성인/모든 결제수단,"왕복 380,800원~",,,
티웨이항공,12:10ICN,14:00KIX,"직항, 01시간 50분",10:55KIX,12:55ICN,"직항, 02시간 00분",성인/모든 결제수단,"왕복 380,800원~",,,
티웨이항공,14:40ICN,16:30KIX,"직항, 01시간 50분",이스타항공,11:50KIX,13:50ICN,"직항, 02시간 00분",성인/모든 결제수단,"왕복 381,400원~",,
티웨이항공,14:40ICN,16:30KIX,"직항, 01시간 50분",피치항공,19:40KIX,21:45ICN,"직항, 02시간 05분",성인/모든 결제수단,"왕복 382,221원~",,
티웨이항공,14:40ICN,16:30KIX,"직항, 01시간 50분",피치항공,18:00KIX,20:05ICN,"직항, 02시간 05분",성인/모든 결제수단,"왕복 382,221원~",,
에어부산,15:35ICN,17:30KIX,"직항, 01시간 55분",18:30KIX,20:35ICN,"직항, 02시간 05분",성인/모든 결제수단,"왕복 382,300원~",,,
티웨이항공,07:55ICN,09:45KIX,"직항, 01시간 50분",피치항공,07:40KIX,09:45ICN,"직항, 02시간 05분",성인/모든 결제수단,"왕복 382,999원~",,
티웨이항공,12:10ICN,14:00KIX,"직항, 01시간 50분",피치항공,07:40KIX,09:45ICN,"직항, 02시간 05분",성인/모든 결제수단,"왕복 382,999원~",,
피치항공,07:30ICN,09:15KIX,"직항, 01시간 45분",에어서울,09:55KIX,11:55ICN,"직항, 02시간 00분",성인/모든 결제수단,"왕복 383,346원~",,
