숙소,평점
칸데오 호텔 오사카 난바 (Candeo Hotels Osaka Namba),8.6
호텔 포르자 오사카 난바 도톤보리 (Hotel Forza Osaka Namba Dotonbori),9.1
Hotel Forza Osaka Kitahama,8.9
CANDEO HOTELS Osaka Shinsaibashi,8.8
소테츠 그랜드 프레사 오사카 난바 (Sotetsu Grand Fresa Osaka Namba),8.5
아고라 플레이스 오사카 남바 (Agora Place Osaka Namba),8.4
오사카 후지야 호텔 (Osaka Fujiya Hotel),8.1
핫 스프링 프롬 딥 워터 오사카 히노데 호텔 닛폰바시 (Hot Spring from Deep Water Osaka Hinode Hotel Nipponbashi),8.8
APA Hotel & Resort Osaka Umeda Eki Tower,8.5
웰리나 호텔 도톤보리 (Welina Hotel Dotonbori),8.2
APA 호텔 난바 신사이바시 (APA Hotel Namba-Shinsaibashi),8
레드 루프 인 앤 스위트 오사카 난바 닛폰바시 (Red Roof Inn & Suites Osaka Namba Nippombashi),8.7
베셀 인 남바 (VESSEL INN NAMBA),8.9
plum hotel,8.9
APA 호텔 난바 미나미 에비수초 에키 (APA Hotel Namba Minami Ebisucho Eki),8.9
일쿠오레 난바 호텔 (Hotel IL Cuore Namba),8.4
그랑벨 호텔 오사카 (GRANBELL HOTEL OSAKA),8.4
APA 호텔 난바-에키 히가시 (APA Hotel Namba-Eki Higashi),8.4
도미인 프리미엄 난바 아넥스 내추럴 핫 스프링 (Dormy Inn Premium Namba ANNEX Natural Hot Spring),8.9
호텔 뉴 한큐 오사카 (Hotel New Hankyu Osaka),8.2
오사카 테이코쿠 호텔 (Osaka Teikoku Hotel),8.4
난바 오리엔탈 호텔 (Namba Oriental Hotel),8.5
APA Hotel and Resort Midosuji Hommachi Eki Tower,8.4
Seiryu 通天閣,8.8
베니키아 칼튼 호텔 오사카 도톤보리 (Benikea Calton Hotel Osaka Doutonbori),8.8
조이텔 호텔 남바 도톤보리 (JOYTEL HOTEL Namba-Dotonbori),8.9
Sotetsu Fresa Inn Osaka-Namba,8.7
사라사 호텔 도톤보리 (Sarasa Hotel Dotonbori),8.5
네스트 호텔 오사카 신사이바시 (Nest Hotel Osaka Shinsaibashi),7.8
호텔 비스타 오사카 난바 (Hotel Vista Osaka Namba),8.9
Centara Grand Hotel Osaka,9.1
APA 호텔 난바 신사이바시 니시 (APA Hotel Namba Shinsaibashi Nishi),9
호텔 WBF 난바 모토마치 (Hotel WBF Namba Motomachi),8.4
Hotel B Suites NambaKuromon,8.7
사라사 호텔 난바 (Sarasa Hotel Namba),8.4
호텔 케이한 난바 그란데 (Hotel Keihan Namba Grande),8.7
호스텔 큐 (Hostel Q),8.3
코코 호텔 오사카 난바 (KOKO HOTEL Osaka Namba),7.9
스마일 호텔 프리미엄 오사카 히가시신사이바시 (Smile Hotel Premium Osaka Higashishinsaibashi),8.8
신이마미야 호텔 (Hotel Shin Imamiya),7.3
Acro Capsule Hotel Namba Dotonbori,9.6
호텔 닛코 오사카 (Hotel Nikko Osaka),8.8
